,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_129,37.0,16.2,7.3,55.5,43.3,25.2,65.4,47.0,30.5,69.4,47.4,30.1,71.7,35.2,21.1
angles for frame_130,35.4,16.4,8.1,53.7,38.5,25.8,61.0,39.2,28.5,62.7,36.6,25.7,62.5,30.6,20.2
angles for frame_131,41.5,16.0,8.8,41.2,20.7,16.5,50.4,21.1,22.8,48.9,24.7,19.0,43.7,20.9,17.6
angles for frame_132,37.8,8.9,11.4,32.9,17.5,10.7,42.6,16.1,14.7,38.9,18.9,14.3,28.2,18.0,15.9
angles for frame_133,41.0,11.8,13.9,24.0,11.1,7.1,34.3,11.2,10.9,32.8,12.7,10.4,27.0,16.4,13.1
angles for frame_134,38.6,20.3,12.2,16.6,13.9,8.2,24.6,10.5,10.2,21.7,15.5,10.9,19.5,15.3,12.4
angles for frame_135,42.3,14.8,8.1,1.8,7.9,6.8,4.6,13.3,6.3,6.5,15.9,5.8,5.9,12.4,5.1
angles for frame_136,34.2,21.8,8.0,9.2,5.7,5.0,4.7,9.9,4.8,10.5,10.0,5.9,14.4,10.0,4.6
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
angles for frame_143,30.2,16.2,14.7,24.6,8.9,3.7,13.0,3.0,5.5,9.9,0.9,6.5,17.0,2.4,3.7
angles for frame_144,32.0,14.7,16.5,23.1,7.5,3.4,13.1,2.5,6.0,9.1,0.8,6.9,15.7,2.8,4.3
angles for frame_145,31.3,15.9,15.1,24.6,8.6,3.4,14.2,2.3,6.4,10.1,1.2,7.4,20.5,3.5,5.1
angles for frame_146,32.5,10.9,16.3,21.9,5.0,3.3,13.0,1.4,4.9,9.2,0.9,6.1,13.6,4.4,4.4
angles for frame_147,27.3,9.5,11.8,28.4,4.3,3.9,15.2,2.8,3.5,12.8,2.2,6.1,15.3,5.2,3.9
angles for frame_148,31.7,13.3,22.4,28.6,7.2,4.3,17.2,4.6,5.2,9.5,1.9,7.3,13.5,5.0,4.6
angles for frame_149,31.5,11.5,20.8,27.7,7.7,3.7,17.1,3.6,4.5,8.8,1.4,6.6,11.1,5.1,3.8
angles for frame_150,26.5,8.7,12.8,28.5,5.4,4.3,13.7,2.9,3.1,8.5,2.2,5.5,11.2,5.4,3.9
angles for frame_151,26.3,9.2,10.0,33.0,2.1,7.3,17.5,3.4,4.3,6.7,1.5,5.1,8.3,5.0,4.7
angles for frame_152,29.1,8.6,15.1,33.6,3.8,6.0,13.5,3.4,4.4,6.6,2.6,5.1,9.9,5.1,5.8
angles for frame_153,25.9,8.9,12.4,32.2,1.9,7.6,14.1,4.5,4.4,7.6,1.0,5.0,11.3,5.9,5.7
angles for frame_154,33.8,12.5,19.8,27.7,2.8,9.3,8.1,3.7,5.8,1.3,2.5,6.3,5.3,6.4,5.5
angles for frame_155,30.1,8.6,10.4,27.6,4.5,8.8,10.3,4.2,5.1,2.6,2.5,6.4,6.3,5.8,6.1
angles for frame_156,30.8,11.2,13.4,28.2,6.2,9.6,10.5,5.3,5.6,1.8,4.9,6.8,5.5,6.3,6.2
angles for frame_157,29.4,11.6,8.8,25.7,7.7,10.4,11.1,9.4,6.1,3.6,7.6,8.1,6.4,7.9,6.8
angles for frame_158,30.7,11.4,9.7,24.5,5.9,10.2,10.7,7.9,6.2,3.4,6.7,8.3,6.0,7.2,6.6
angles for frame_159,26.3,10.4,6.9,31.6,7.1,9.5,13.9,7.4,5.2,3.4,5.7,6.6,1.4,7.3,5.7
angles for frame_160,29.4,10.1,7.7,27.8,8.1,9.2,12.2,5.7,5.1,3.3,4.2,6.6,4.4,6.3,5.6
angles for frame_161,25.7,10.9,8.5,29.4,6.3,9.5,14.5,8.8,6.3,4.6,7.4,7.9,7.0,9.0,7.2
angles for frame_162,25.3,9.6,8.5,29.9,5.7,8.5,16.0,8.8,6.3,7.0,7.0,7.6,10.4,9.0,6.8
angles for frame_163,27.0,9.0,9.2,28.6,5.8,8.6,11.6,7.4,4.9,1.3,5.3,6.6,2.2,6.7,6.0
angles for frame_164,30.2,15.0,11.4,23.0,2.0,8.9,4.4,7.7,4.4,2.6,5.1,5.6,8.9,6.8,5.4
angles for frame_165,30.6,13.6,15.1,18.9,5.0,7.7,2.2,9.5,5.3,8.6,7.7,7.5,10.9,8.7,6.8
angles for frame_166,32.0,12.4,17.2,16.8,7.5,6.8,2.2,12.6,3.7,10.8,12.1,5.9,12.9,12.3,6.6
angles for frame_167,25.2,13.1,10.0,11.8,14.9,13.5,13.7,17.6,13.7,16.4,18.4,14.0,15.7,16.9,10.0
angles for frame_168,25.9,20.4,8.9,21.9,19.1,14.2,22.5,24.1,18.0,24.8,22.5,16.5,24.9,15.8,12.2
angles for frame_169,28.6,21.6,6.4,24.0,21.3,17.4,30.3,24.1,20.4,32.5,23.2,19.7,29.5,18.3,15.1
angles for frame_170,29.3,21.1,2.9,31.4,30.2,22.9,37.4,32.8,23.8,39.1,31.8,23.1,36.9,23.6,18.6
angles for frame_171,32.8,19.0,5.9,38.0,45.9,30.5,47.3,41.7,26.8,51.5,45.5,24.1,56.3,38.2,20.0
angles for frame_172,35.1,19.4,9.8,43.0,56.0,31.5,50.9,52.3,30.3,54.2,60.8,29.5,60.8,48.9,23.6
angles for frame_173,32.4,19.9,14.4,42.3,59.5,35.3,52.8,64.4,32.4,55.8,65.3,29.7,62.8,47.9,24.6
angles for frame_174,31.9,18.8,12.1,35.5,50.7,35.1,51.2,66.3,32.9,55.6,71.5,29.4,60.4,53.3,29.3
angles for frame_175,32.4,21.5,13.1,36.6,58.1,37.9,52.3,80.4,35.6,58.0,79.9,37.5,66.7,59.9,40.3
angles for frame_176,34.1,21.2,13.9,40.8,68.5,37.8,55.6,80.2,34.4,63.9,75.5,38.0,71.0,57.3,42.8
angles for frame_177,34.0,22.9,19.1,43.9,70.7,39.8,56.9,78.7,36.9,66.5,73.9,38.5,74.4,55.8,39.4
angles for frame_178,32.6,19.1,20.4,49.5,77.5,31.5,60.6,70.9,32.6,70.5,65.9,37.2,76.9,52.4,35.0
angles for frame_179,33.3,18.2,21.1,50.2,76.4,36.2,60.3,76.1,34.6,70.3,74.4,36.1,78.0,55.2,34.5
angles for frame_180,32.1,16.9,23.3,57.1,79.1,34.7,67.0,76.5,38.8,74.4,75.2,40.0,79.4,59.9,36.8
angles for frame_181,29.2,17.4,20.9,51.4,84.7,38.3,63.3,82.8,39.4,71.8,79.2,40.3,76.1,63.7,41.0
angles for frame_182,28.5,17.3,17.9,56.0,83.1,38.8,65.6,78.9,41.2,72.5,74.3,43.2,76.3,58.2,39.3
angles for frame_183,30.0,18.1,22.7,59.0,84.5,39.1,69.6,79.6,42.8,76.5,75.6,44.0,79.9,62.4,43.8
angles for frame_184,31.3,17.4,23.6,59.8,84.8,39.1,69.4,78.8,43.2,75.2,74.4,44.8,78.5,61.8,44.3
angles for frame_185,33.4,18.2,23.0,62.9,86.8,39.2,70.6,80.9,43.8,76.0,76.0,45.1,79.3,64.2,46.1
angles for frame_186,34.0,18.6,20.2,63.9,86.2,38.4,70.9,81.1,43.1,76.2,76.0,45.1,79.1,63.0,45.5
angles for frame_187,36.2,19.8,19.1,61.7,79.8,36.5,71.4,78.9,42.1,78.0,75.3,44.4,80.2,61.6,44.5
angles for frame_188,36.6,19.1,13.7,60.7,87.1,38.2,69.5,80.9,47.0,74.6,75.4,50.7,75.8,64.5,54.4
angles for frame_189,34.4,18.3,11.7,61.4,89.0,40.4,70.7,82.1,48.3,74.8,78.4,50.3,76.3,66.7,54.2
angles for frame_190,35.2,16.9,7.6,62.8,89.1,39.8,71.0,82.6,47.3,75.0,77.5,48.3,76.7,66.0,51.4
angles for frame_191,40.7,18.0,7.2,62.1,92.0,40.2,70.3,83.1,46.7,75.4,75.5,50.4,75.9,66.3,54.3
angles for frame_192,41.5,18.7,7.6,62.1,90.5,41.7,70.8,82.5,48.7,76.2,75.6,51.7,76.2,66.3,56.0
